iter	Passed	Remaining
0	114	56932
1	126	31434
2	148	24562
3	165	20515
4	176	17498
5	182	15045
6	204	14369
7	213	13152
8	229	12540
9	247	12117
10	251	11167
11	259	10534
12	263	9861
13	272	9449
14	275	8918
15	289	8758
16	296	8417
17	300	8059
18	304	7716
19	310	7447
20	314	7177
21	319	6943
22	325	6741
23	329	6542
24	334	6364
25	337	6154
26	344	6026
27	370	6248
28	374	6083
29	385	6041
30	397	6013
31	401	5871
32	405	5739
33	410	5629
34	414	5507
35	419	5402
36	425	5319
37	429	5217
38	433	5129
39	438	5037
40	442	4955
41	447	4879
42	451	4796
43	456	4730
44	462	4673
45	466	4608
46	470	4536
47	475	4474
48	480	4417
49	483	4350
50	488	4302
51	491	4238
52	498	4206
53	504	4167
54	510	4130
55	516	4094
56	520	4043
57	525	4002
58	528	3951
59	532	3905
60	537	3870
61	543	3841
62	547	3796
63	553	3767
64	557	3732
65	561	3691
66	568	3677
67	574	3651
68	579	3617
69	605	3718
70	609	3685
71	615	3661
72	620	3630
73	626	3608
74	631	3576
75	634	3538
76	642	3529
77	649	3515
78	656	3496
79	663	3481
80	666	3446
81	672	3425
82	686	3450
83	691	3423
84	695	3395
85	699	3365
86	701	3332
87	707	3312
88	712	3289
89	717	3268
90	721	3244
91	726	3222
92	734	3212
93	743	3209
94	747	3188
95	751	3160
96	754	3135
97	758	3110
98	763	3093
99	767	3070
100	772	3050
101	777	3035
102	782	3017
103	787	3000
104	790	2974
105	796	2958
106	799	2935
107	802	2914
108	806	2893
109	811	2875
110	814	2855
111	817	2831
112	820	2810
113	824	2791
114	830	2780
115	834	2762
116	838	2743
117	842	2727
118	846	2708
119	850	2693
120	855	2679
121	858	2660
122	864	2650
123	867	2630
124	873	2620
125	878	2608
126	883	2596
127	889	2586
128	892	2568
129	897	2553
130	899	2534
131	904	2521
132	908	2508
133	913	2493
134	917	2481
135	920	2464
136	924	2449
137	929	2438
138	933	2425
139	936	2408
140	941	2396
141	945	2384
142	949	2369
143	953	2357
144	956	2342
145	961	2330
146	966	2321
147	971	2310
148	976	2299
149	981	2289
150	985	2277
151	990	2268
152	993	2252
153	998	2242
154	1001	2228
155	1005	2216
156	1009	2206
157	1014	2196
158	1020	2188
159	1024	2176
160	1028	2164
161	1033	2156
162	1036	2142
163	1042	2135
164	1045	2122
165	1049	2112
166	1055	2105
167	1061	2096
168	1064	2084
169	1069	2075
170	1073	2064
171	1077	2054
172	1082	2045
173	1085	2034
174	1090	2024
175	1095	2016
176	1099	2006
177	1103	1996
178	1107	1986
179	1112	1977
180	1115	1966
181	1120	1958
182	1124	1947
183	1129	1939
184	1133	1929
185	1138	1921
186	1143	1913
187	1146	1902
188	1150	1893
189	1154	1884
190	1158	1874
191	1163	1866
192	1166	1855
193	1170	1846
194	1173	1836
195	1178	1827
196	1182	1818
197	1187	1811
198	1191	1802
199	1194	1791
200	1199	1783
201	1203	1775
202	1208	1768
203	1213	1760
204	1215	1749
205	1221	1743
206	1226	1736
207	1232	1730
208	1237	1723
209	1243	1716
210	1247	1708
211	1251	1699
212	1255	1691
213	1258	1681
214	1262	1673
215	1267	1666
216	1271	1658
217	1276	1651
218	1281	1643
219	1285	1636
220	1289	1627
221	1295	1622
222	1300	1615
223	1307	1610
224	1318	1611
225	1325	1607
226	1330	1600
227	1334	1591
228	1340	1585
229	1343	1576
230	1347	1569
231	1351	1560
232	1355	1553
233	1360	1546
234	1364	1538
235	1368	1530
236	1373	1524
237	1376	1515
238	1381	1509
239	1388	1504
240	1391	1495
241	1396	1488
242	1399	1480
243	1405	1474
244	1409	1467
245	1414	1460
246	1418	1453
247	1421	1444
248	1425	1437
249	1431	1431
250	1435	1424
251	1438	1415
252	1442	1408
253	1446	1400
254	1451	1394
255	1458	1389
256	1465	1386
257	1469	1378
258	1475	1372
259	1479	1366
260	1482	1357
261	1486	1350
262	1492	1344
263	1496	1338
264	1502	1332
265	1507	1326
266	1510	1318
267	1515	1312
268	1520	1305
269	1524	1298
270	1529	1292
271	1533	1285
272	1538	1279
273	1542	1272
274	1545	1264
275	1550	1258
276	1554	1251
277	1559	1245
278	1562	1237
279	1568	1232
280	1570	1224
281	1574	1216
282	1579	1211
283	1582	1203
284	1585	1196
285	1591	1190
286	1594	1183
287	1599	1177
288	1604	1171
289	1608	1164
290	1611	1157
291	1616	1151
292	1621	1145
293	1625	1139
294	1628	1131
295	1633	1125
296	1636	1118
297	1640	1112
298	1644	1105
299	1650	1100
300	1654	1093
301	1657	1086
302	1661	1080
303	1666	1074
304	1670	1068
305	1675	1062
306	1678	1055
307	1682	1049
308	1687	1043
309	1691	1036
310	1696	1031
311	1699	1024
312	1704	1018
313	1709	1012
314	1714	1007
315	1719	1000
316	1722	994
317	1727	988
318	1731	982
319	1735	975
320	1740	970
321	1745	964
322	1750	959
323	1754	953
324	1758	947
325	1763	941
326	1767	935
327	1771	928
328	1775	922
329	1779	916
330	1784	911
331	1788	905
332	1790	898
333	1794	891
334	1798	886
335	1801	879
336	1804	872
337	1808	866
338	1812	861
339	1817	855
340	1819	848
341	1824	842
342	1827	836
343	1832	831
344	1837	825
345	1847	822
346	1851	816
347	1856	810
348	1859	804
349	1862	798
350	1867	792
351	1869	786
352	1874	780
353	1877	774
354	1881	768
355	1885	762
356	1890	757
357	1893	750
358	1897	745
359	1901	739
360	1904	733
361	1909	727
362	1912	721
363	1916	716
364	1919	709
365	1924	704
366	1929	699
367	1933	693
368	1937	687
369	1942	682
370	1947	677
371	1952	671
372	1956	666
373	1960	660
374	1964	654
375	1968	649
376	1972	643
377	1975	637
378	1980	632
379	1984	626
380	1988	621
381	1993	615
382	1995	609
383	1999	604
384	2003	598
385	2006	592
386	2011	587
387	2018	582
388	2023	577
389	2028	572
390	2032	566
391	2037	561
392	2042	555
393	2045	550
394	2050	545
395	2054	539
396	2059	534
397	2063	528
398	2068	523
399	2072	518
400	2076	512
401	2081	507
402	2084	501
403	2089	496
404	2092	490
405	2095	485
406	2099	479
407	2102	474
408	2106	468
409	2112	463
410	2115	458
411	2121	453
412	2125	447
413	2130	442
414	2134	437
415	2138	431
416	2143	426
417	2146	421
418	2150	415
419	2155	410
420	2158	405
421	2164	400
422	2168	394
423	2171	389
424	2176	384
425	2182	379
426	2185	373
427	2190	368
428	2197	363
429	2200	358
430	2203	352
431	2207	347
432	2212	342
433	2217	337
434	2220	331
435	2226	326
436	2230	321
437	2237	316
438	2240	311
439	2245	306
440	2250	301
441	2253	295
442	2257	290
443	2260	285
444	2265	279
445	2268	274
446	2273	269
447	2276	264
448	2281	259
449	2283	253
450	2289	248
451	2292	243
452	2295	238
453	2300	233
454	2304	227
455	2315	223
456	2318	218
457	2321	212
458	2326	207
459	2332	202
460	2335	197
461	2339	192
462	2344	187
463	2348	182
464	2351	177
465	2356	171
466	2360	166
467	2364	161
468	2368	156
469	2372	151
470	2376	146
471	2381	141
472	2386	136
473	2390	131
474	2392	125
475	2397	120
476	2402	115
477	2407	110
478	2412	105
479	2416	100
480	2421	95
481	2425	90
482	2428	85
483	2433	80
484	2438	75
485	2442	70
486	2448	65
487	2452	60
488	2456	55
489	2460	50
490	2463	45
491	2468	40
492	2471	35
493	2477	30
494	2482	25
495	2487	20
496	2490	15
497	2495	10
498	2498	5
499	2502	0
